"Product","product_map"
"IS4-like element ISAbe18 family transposase","A66438"
"IS4-like element ISAcma11 family transposase","A62526"
"IS4-like element ISAcma16 family transposase","A62536"
"IS4-like element ISAcma18 family transposase","A62542"
"IS4-like element ISAcma19 family transposase","A62543"
"IS4-like element ISAcma44 family transposase","A62574"
"IS4-like element ISAcma47 family transposase","A62562"
"IS4-like element ISAcma48 family transposase","A62566"
"IS4-like element ISAeme12 family transposase","A56877"
"IS4-like element ISAeme13 family transposase","A56875"
"IS4-like element ISAeme14 family transposase","A61718"
"IS4-like element ISAeme15 family transposase","A29521"
"IS4-like element ISAeme22 family transposase","A46648"
"IS4-like element ISAeme3 family transposase","A34360"
"IS4-like element ISAeme4 family transposase","A33761"
"IS4-like element ISAme1 family transposase","A56887"
"IS4-like element ISAnsp7 family transposase","A61333"
"IS4-like element ISApu1 family transposase","A21356"
"IS4-like element ISApu2 family transposase","A21301"
"IS4-like element ISAs18 family transposase","A29527"
"IS4-like element ISAs30 family transposase","A43340"
"IS4-like element ISAsp10 family transposase","A62692"
"IS4-like element ISAsp3 family transposase","A62690"
"IS4-like element ISAtsp3 family transposase","A46177"
"IS4-like element ISAtsp5 family transposase","A46179"
"IS4-like element ISAva1 family transposase","A42573"
"IS4-like element ISAva3 family transposase","A42588"
"IS4-like element ISAzo5 family transposase","A58749"
"IS4-like element ISAzvi5 family transposase","A45347"
"IS4-like element ISAzvi6 family transposase","A45343"
"IS4-like element ISAzvi7 family transposase","A45340"
"IS4-like element ISBce10 family transposase","A51859"
"IS4-like element ISBce11 family transposase","A33747"
"IS4-like element ISBce12 family transposase","A51826"
"IS4-like element ISBce2 family transposase","A26214"
"IS4-like element ISBce4 family transposase","A51856"
"IS4-like element ISBce5 family transposase","A51855"
"IS4-like element ISBce7 family transposase","A38154"
"IS4-like element ISBce8 family transposase","A38155"
"IS4-like element ISBce9 family transposase","A51857"
"IS4-like element ISBf13 family transposase","A34094"
"IS4-like element ISBf8 family transposase","A50964"
"IS4-like element ISBth4 family transposase","A29109"
"IS4-like element ISBth5 family transposase","A58681"
"IS4-like element ISBthe3 family transposase","A19938"
"IS4-like element ISBvi1 family transposase","A41642"
"IS4-like element ISCb2 family transposase","A36851"
"IS4-like element ISCef4 family transposase","A64008"
"IS4-like element ISCja2 family transposase","A50757"
"IS4-like element ISCku2 family transposase","A50932"
"IS4-like element ISCku3 family transposase","A50927"
"IS4-like element ISCku4 family transposase","A50930"
"IS4-like element ISCro2 family transposase","A52235"
"IS4-like element ISCro3 family transposase","A56322"
"IS4-like element ISCro6 family transposase","A56320"
"IS4-like element ISDds2 family transposase","A61722"
"IS4-like element ISDds3 family transposase","A61726"
"IS4-like element ISDds7 family transposase","A61723"
"IS4-like element ISDge11 family transposase","A61124"
"IS4-like element ISDge9 family transposase","A61121"
"IS4-like element ISDha2 family transposase","A51650"
"IS4-like element ISDha3 family transposase","A51646"
"IS4-like element ISDha4 family transposase","A64335"
"IS4-like element ISDha5 family transposase","A51652"
"IS4-like element ISDra1 family transposase","A45020"
"IS4-like element ISDra7 family transposase","A45018"
"IS4-like element ISDre1 family transposase","A51412"
"IS4-like element ISEc13 family transposase","A29546"
"IS4-like element ISEc29 family transposase","A22704"
"IS4-like element ISEc60 family transposase","A13621"
"IS4-like element ISFac10 family transposase","A64190"
"IS4-like element ISFtu5 family transposase","A26311"
"IS4-like element ISGka3 family transposase","A26939"
"IS4-like element ISGme2 family transposase","A71436"
"IS4-like element ISGsu1 family transposase","A38129"
"IS4-like element ISGur1 family transposase","A70985"
"IS4-like element ISGur4 family transposase","A70980"
"IS4-like element ISGvi2 family transposase","A69326"
"IS4-like element ISGvi3 family transposase","A69329"
"IS4-like element ISGvi4 family transposase","A69328"
"IS4-like element ISH30 family transposase","A35994"
"IS4-like element ISH32 family transposase","A35988"
"IS4-like element ISH5 family transposase","A35984"
"IS4-like element ISH8 family transposase","A35928"
"IS4-like element ISH8A family transposase","A35982"
"IS4-like element ISH8B family transposase","A35930"
"IS4-like element ISH8C family transposase","A35987"
"IS4-like element ISH8E family transposase","A35957"
"IS4-like element ISHaha1 family transposase","A55510"
"IS4-like element ISHch2 family transposase","A57030"
"IS4-like element ISHma1 family transposase","A45074"
"IS4-like element ISHme2 family transposase","A51888"
"IS4-like element ISHth3 family transposase","A38849"
"IS4-like element ISHti13 family transposase","A57355"
"IS4-like element ISHti4 family transposase","A57357"
"IS4-like element ISHvo11 family transposase","A45713"
"IS4-like element ISHvo12 family transposase","A45720"
"IS4-like element ISHvo13 family transposase","A45746"
"IS4-like element ISHwa2 family transposase","A66415"
"IS4-like element ISHwa5 family transposase","A71280"
"IS4-like element ISHwa8 family transposase","A66419"
"IS4-like element ISHwa9 family transposase","A71272"
"IS4-like element ISIlo1 family transposase","A57405"
"IS4-like element ISLho3 family transposase","A61173"
"IS4-like element ISLpn1 family transposase","A31485"
"IS4-like element ISLpn2 family transposase","A30829"
"IS4-like element ISLpn3 family transposase","A34494"
"IS4-like element ISLpn4 family transposase","A34536"
"IS4-like element ISLpn5 family transposase","A22372"
"IS4-like element ISLpn6 family transposase","A33129"
"IS4-like element ISLpn9 family transposase","A22363"
"IS4-like element ISLre1 family transposase","A55777"
"IS4-like element ISMae7 family transposase","A30505"
"IS4-like element ISMasp2 family transposase","A63942"
"IS4-like element ISMba6 family transposase","A60449"
"IS4-like element ISMfl1 family transposase","A39012"
"IS4-like element ISMhu6 family transposase","A60739"
"IS4-like element ISNpu3 family transposase","A39469"
"IS4-like element ISNpu8 family transposase","A39461"
"IS4-like element ISOsp1 family transposase","A51286"
"IS4-like element ISPa12 family transposase","A41862"
"IS4-like element ISPa13 family transposase","A23482"
"IS4-like element ISPa1635 family transposase","A14294"
"IS4-like element ISPa45 family transposase","A14240"
"IS4-like element ISPca1 family transposase","A46001"
"IS4-like element ISPen1 family transposase","A38817"
"IS4-like element ISPepr1 family transposase","A38299"
"IS4-like element ISPepr3 family transposase","A38300"
"IS4-like element ISPepr4 family transposase","A38296"
"IS4-like element ISPlu9 family transposase","A44885"
"IS4-like element ISPosp1 family transposase","A60295"
"IS4-like element ISPosp4 family transposase","A60299"
"IS4-like element ISPpr1 family transposase","A69403"
"IS4-like element ISPpr2 family transposase","A69407"
"IS4-like element ISPpr3 family transposase","A69411"
"IS4-like element ISPpr4 family transposase","A69401"
"IS4-like element ISPpu8 family transposase","A28295"
"IS4-like element ISPrst1 family transposase","A35368"
"IS4-like element ISPsy33 family transposase","A32094"
"IS4-like element ISPto2 family transposase","A66386"
"IS4-like element ISPto3 family transposase","A66384"
"IS4-like element ISPtu1 family transposase","A52191"
"IS4-like element ISRba1 family transposase","A42052"
"IS4-like element ISRba2 family transposase","A42044"
"IS4-like element ISRba3 family transposase","A42040"
"IS4-like element ISRba5 family transposase","A42051"
"IS4-like element ISRel1 family transposase","A66281"
"IS4-like element ISRm16 family transposase","A35230"
"IS4-like element ISRso13 family transposase","A50632"
"IS4-like element ISRsp6 family transposase","A58587"
"IS4-like element ISSav1 family transposase","A71468"
"IS4-like element ISSba6 family transposase","A24215"
"IS4-like element ISSde1 family transposase","A45259"
"IS4-like element ISSfl1 family transposase","A35880"
"IS4-like element ISSfl9 family transposase","A35879"
"IS4-like element ISShes5 family transposase","A29629"
"IS4-like element ISShes6 family transposase","A66325"
"IS4-like element ISShfr1 family transposase","A38743"
"IS4-like element ISShvi2 family transposase","A58789"
"IS4-like element ISSod3 family transposase","A24201"
"IS4-like element ISSod7 family transposase","A36389"
"IS4-like element ISSpu12 family transposase","A39419"
"IS4-like element ISSpu9 family transposase","A39416"
"IS4-like element ISSsu2 family transposase","A41588"
"IS4-like element ISSysp2 family transposase","A44651"
"IS4-like element ISSysp3 family transposase","A55413"
"IS4-like element ISTeha3 family transposase","A60318"
"IS4-like element ISTeha4 family transposase","A60317"
"IS4-like element ISTeha5 family transposase","A60316"
"IS4-like element ISTth2 family transposase","A41922"
"IS4-like element ISUnCu8 family transposase","A24190"
"IS4-like element ISUnCu9 family transposase","A42493"
"IS4-like element ISVa14 family transposase","A58794"
"IS4-like element ISVa16 family transposase","A38168"
"IS4-like element ISVa18 family transposase","A35997"
"IS4-like element ISVbsp1 family transposase","A41559"
"IS4-like element ISVsa5 family transposase","A7649"
"IS4-like element ISVvu2 family transposase","A16491"
"IS4-like element ISVvu3 family transposase","A16543"
"IS4-like element ISWen1 family transposase","A34897"
"IS4-like element ISWosp2 family transposase","A42747"
"IS4-like element ISWosp7 family transposase","A38771"
"IS4-like element ISWosp9 family transposase","A27572"
"IS4-like element ISWpi18 family transposase","A35443"
"IS4-like element ISXac1 family transposase","A20354"
"IS4-like element ISXo14 family transposase","A18063"
"IS4 family putative transposase","A49844"
"IS4 family transposase","A308"
"IS4 family transposase ISAba1","A41637"
"IS4 orf","A63796"
"IS4/5 transposase family protein","A65963"
"IS4/IS5 family transposase","A25398"
"IS481-like element IS1121 family transposase","A56363"
"IS481-like element IS1122 family transposase","A45884"
"IS481-like element IS1649 family transposase","A51001"
"IS481-like element IS3514 family transposase","A37440"
"IS481-like element IS481 family transposase","A10354"
"IS481-like element IS5564 family transposase","A26066"
"IS481-like element ISA0963-1 family transposase","A58682"
"IS481-like element ISA0963-2 family transposase","A58684"
"IS481-like element ISA0963-3 family transposase","A50229"
"IS481-like element ISA0963-7 family transposase","A50248"
"IS481-like element ISAar22 family transposase","A46483"
"IS481-like element ISAar27 family transposase","A46502"
"IS481-like element ISAar28 family transposase","A46498"
"IS481-like element ISAar35 family transposase","A46524"
"IS481-like element ISAav5 family transposase","A37924"
"IS481-like element ISAcp2 family transposase","A35715"
"IS481-like element ISAeme21 family transposase","A56874"
"IS481-like element ISAisp3 family transposase","A60008"
"IS481-like element ISAnsp2 family transposase","A61331"
"IS481-like element ISArsp1 family transposase","A62255"
"IS481-like element ISArsp2 family transposase","A62256"
"IS481-like element ISAs19 family transposase","A21686"
"IS481-like element ISAzs36 family transposase","A50923"
"IS481-like element ISAzvi11 family transposase","A45333"
"IS481-like element ISBcen24 family transposase","A40938"
"IS481-like element ISBcen26 family transposase","A42887"
"IS481-like element ISBm3 family transposase","A33406"
"IS481-like element ISBrsp4 family transposase","A58829"
"IS481-like element ISBxe3 family transposase","A62345"
"IS481-like element ISBxe4 family transposase","A62351"
"IS481-like element ISCaa11 family transposase","A57589"
"IS481-like element ISCaa12 family transposase","A57595"
"IS481-like element ISCbe2 family transposase","A43777"
"IS481-like element ISCce1 family transposase","A71047"
"IS481-like element ISCgl1 family transposase","A62681"
"IS481-like element ISChy3 family transposase","A50574"
"IS481-like element ISChy6 family transposase","A50578"
"IS481-like element ISCje1 family transposase","A43003"
"IS481-like element ISCmi2 family transposase","A56365"
"IS481-like element ISCsa6 family transposase","A38568"
"IS481-like element ISCte4 family transposase","A42500"
"IS481-like element ISDvu4 family transposase","A34434"
"IS481-like element ISEc18 family transposase","A24100"
"IS481-like element ISEc19 family transposase","A22130"
"IS481-like element ISErsp1 family transposase","A32854"
"IS481-like element ISFac5 family transposase","A61235"
"IS481-like element ISGdi10 family transposase","A61483"
"IS481-like element ISGdi9 family transposase","A61487"
"IS481-like element ISGebe1 family transposase","A35198"
"IS481-like element ISGlo3 family transposase","A63117"
"IS481-like element ISGme9 family transposase","A71429"
"IS481-like element ISGur11 family transposase","A70987"
"IS481-like element ISHne2 family transposase","A61965"
"IS481-like element ISKpn27 family transposase","A18594"
"IS481-like element ISKpn28 family transposase","A8670"
"IS481-like element ISKrh1 family transposase","A41092"
"IS481-like element ISKrh2 family transposase","A50875"
"IS481-like element ISKrh3 family transposase","A50876"
"IS481-like element ISLxx4 family transposase","A70803"
"IS481-like element ISMac4 family transposase","A50517"
"IS481-like element ISMav2 family transposase","A38194"
"IS481-like element ISMav3 family transposase","A26849"
"IS481-like element ISMav4 family transposase","A34480"
"IS481-like element ISMav5 family transposase","A32785"
"IS481-like element ISMdi4 family transposase","A30216"
"IS481-like element ISMdi8 family transposase","A30207"
"IS481-like element ISMex2 family transposase","A43828"
"IS481-like element ISMsm9 family transposase","A42434"
"IS481-like element ISMtsp15 family transposase","A50816"
"IS481-like element ISMtsp16 family transposase","A50818"
"IS481-like element ISMva2 family transposase","A62777"
"IS481-like element ISMyma4 family transposase","A50680"
"IS481-like element ISMyma5 family transposase","A52238"
"IS481-like element ISMyma6 family transposase","A50681"
"IS481-like element ISNe2 family transposase","A61614"
"IS481-like element ISNfa1 family transposase","A52081"
"IS481-like element ISPca3 family transposase","A46000"
"IS481-like element ISPfr15 family transposase","A44146"
"IS481-like element ISPfr17 family transposase","A33873"
"IS481-like element ISPfr19 family transposase","A36091"
"IS481-like element ISPfr21 family transposase","A36099"
"IS481-like element ISPfr5 family transposase","A36096"
"IS481-like element ISPosp6 family transposase","A60294"
"IS481-like element ISRae1 family transposase","A41214"
"IS481-like element ISRel2 family transposase","A36903"
"IS481-like element ISRhosp6 family transposase","A62639"
"IS481-like element ISRhsp3 family transposase","A32393"
"IS481-like element ISRm20 family transposase","A35229"
"IS481-like element ISRme14 family transposase","A44625"
"IS481-like element ISRpa3 family transposase","A44998"
"IS481-like element ISRpe1 family transposase","A57726"
"IS481-like element ISSav5 family transposase","A71474"
"IS481-like element ISSav7 family transposase","A71471"
"IS481-like element ISSde2 family transposase","A45269"
"IS481-like element ISSod13 family transposase","A36414"
"IS481-like element ISSpal1 family transposase","A55404"
"IS481-like element ISSpu18 family transposase","A60087"
"IS481-like element ISSsu8 family transposase","A42653"
"IS481-like element ISStma1 family transposase","A33848"
"IS481-like element ISStma12 family transposase","A33847"
"IS481-like element ISStma3 family transposase","A60492"
"IS481-like element ISStpr1 family transposase","A39730"
"IS481-like element ISTel1 family transposase","A62110"
"IS481-like element ISTni2 family transposase","A46558"
"IS481-like element ISTvo3 family transposase","A56925"
"IS481-like element ISVch1 family transposase","A25301"
"IS481-like element ISVei2 family transposase","A61405"
"IS481-like element ISVvu4 family transposase","A36004"
"IS481-like element ISWpi2 family transposase","A43994"
"IS481-like element ISWpi4 family transposase","A27577"
"IS481 family transposase","A8643"
"IS481 family transposase ISSco2","A51002"
"IS5-like element IS1021 family transposase","A42782"
"IS5-like element IS1031A family transposase","A31944"
"IS5-like element IS1031C family transposase","A71125"
"IS5-like element IS1031D family transposase","A30918"
"IS5-like element IS1032 family transposase","A31942"
"IS5-like element IS112 family transposase","A34821"
"IS5-like element IS1169 family transposase","A60641"
"IS5-like element IS1194 family transposase","A36153"
"IS5-like element IS1248A family transposase","A46087"
"IS5-like element IS12528 family transposase","A36647"
"IS5-like element IS1301 family transposase","A12434"
"IS5-like element IS1355 family transposase","A30235"
"IS5-like element IS1381A family transposase","A20625"
"IS5-like element IS1384 family transposase","A31410"
"IS5-like element IS1405 family transposase","A30805"
"IS5-like element IS1420 family transposase","A30838"
"IS5-like element IS1421 family transposase","A30826"
"IS5-like element IS1478 family transposase","A33569"
"IS5-like element IS1480b family transposase","A33187"
"IS5-like element IS1502 family transposase","A35329"
"IS5-like element IS1515 family transposase","A31760"
"IS5-like element IS1646 family transposase","A20214"
"IS5-like element IS1647 family transposase","A51035"
"IS5-like element IS1648 family transposase","A51025"
"IS5-like element IS1650 family transposase","A51004"
"IS5-like element IS17 family transposase","A29804"
"IS5-like element IS2000 family transposase","A35267"
"IS5-like element IS298 family transposase","A40612"
"IS5-like element IS402 family transposase","A21474"
"IS5-like element IS427 family transposase","A55734"
"IS5-like element IS470 family transposase","A51017"
"IS5-like element IS4811 family transposase","A71262"
"IS5-like element IS493 family transposase","A59973"
"IS5-like element IS5 family transposase","A8429"
"IS5-like element IS5B family transposase","A29529"
"IS5-like element IS5Sa2 family transposase","A44582"
"IS5-like element IS702 family transposase","A57524"
"IS5-like element IS711 family transposase","A33398"
"IS5-like element IS869 family transposase","A64925"
"IS5-like element IS881 family transposase","A42108"
"IS5-like element IS903 family transposase","A21099"
"IS5-like element IS903B family transposase","A8149"
"IS5-like element ISA1218 family transposase","A50242"
"IS5-like element ISAac2 family transposase","A32805"
"IS5-like element ISAae1 family transposase","A71484"
"IS5-like element ISAav2 family transposase","A36199"
"IS5-like element ISAba10 family transposase","A32935"
"IS5-like element ISAba12 family transposase","A24381"
"IS5-like element ISAba13 family transposase","A25511"
"IS5-like element ISAba15 family transposase","A41863"
"IS5-like element ISAba23 family transposase","A33464"
"IS5-like element ISAba27 family transposase","A33535"
"IS5-like element ISAba31 family transposase","A25516"
"IS5-like element ISAba37 family transposase","A36990"
"IS5-like element ISAba40 family transposase","A35499"
"IS5-like element ISAch1 family transposase","A35374"
"IS5-like element ISAcma17 family transposase","A62541"
"IS5-like element ISAcma20 family transposase","A62546"
"IS5-like element ISAcma43 family transposase","A62576"
"IS5-like element ISAcma45 family transposase","A62569"
"IS5-like element ISAcma5 family transposase","A62520"
"IS5-like element ISAcma6 family transposase","A62521"
"IS5-like element ISAcma9 family transposase","A62530"
"IS5-like element ISAcp1 family transposase","A35718"
"IS5-like element ISAeme7 family transposase","A56872"
"IS5-like element ISAha1 family transposase","A27512"
"IS5-like element ISAha2 family transposase","A29806"
"IS5-like element ISAha3 family transposase","A34989"
"IS5-like element ISAjo1 family transposase","A41913"
"IS5-like element ISAli1 family transposase","A50891"
"IS5-like element ISAli17 family transposase","A60172"
"IS5-like element ISAli9 family transposase","A60158"
"IS5-like element ISAlw1 family transposase","A57846"
"IS5-like element ISAmi1 family transposase","A61163"
"IS5-like element ISAmi2 family transposase","A61159"
"IS5-like element ISAra1 family transposase","A62715"
"IS5-like element ISArve1 family transposase","A61276"
"IS5-like element ISAs13 family transposase","A31912"
"IS5-like element ISAs14 family transposase","A52171"
"IS5-like element ISAs15 family transposase","A38632"
"IS5-like element ISAs34 family transposase","A21718"
"IS5-like element ISAs4 family transposase","A39322"
"IS5-like element ISAtc5 family transposase","A35682"
"IS5-like element ISAte1 family transposase","A27289"
"IS5-like element ISAtu2 family transposase","A37951"
"IS5-like element ISAva5 family transposase","A42587"
"IS5-like element ISAva7 family transposase","A42590"
"IS5-like element ISAve2 family transposase","A57752"
"IS5-like element ISAzba5 family transposase","A45372"
"IS5-like element ISAzba7 family transposase","A37451"
"IS5-like element ISAzo11 family transposase","A61811"
"IS5-like element ISAzo23 family transposase","A61817"
"IS5-like element ISAzo24 family transposase","A61814"
"IS5-like element ISAzo27 family transposase","A61820"
"IS5-like element ISAzo31 family transposase","A61823"
"IS5-like element ISAzo36 family transposase","A61829"
"IS5-like element ISAzo38 family transposase","A61831"
"IS5-like element ISAzo41 family transposase","A46373"
"IS5-like element ISAzs10 family transposase","A50895"
"IS5-like element ISAzs16 family transposase","A50901"
"IS5-like element ISAzs28 family transposase","A50908"
"IS5-like element ISAzs9 family transposase","A50889"
"IS5-like element ISBco3 family transposase","A36940"
"IS5-like element ISBf6 family transposase","A70973"
"IS5-like element ISBian1 family transposase","A31031"
"IS5-like element ISBj2 family transposase","A41157"
"IS5-like element ISBj2_B family transposase","A34344"
"IS5-like element ISBj5_B family transposase","A38565"
"IS5-like element ISBmu2 family transposase","A45924"
"IS5-like element ISBmu20 family transposase","A57550"
"IS5-like element ISBmu23 family transposase","A43551"
"IS5-like element ISBph2 family transposase","A43502"
"IS5-like element ISBph3 family transposase","A43499"
"IS5-like element ISBps3 family transposase","A55608"
"IS5-like element ISBrsp7 family transposase","A58831"
"IS5-like element ISBugl2 family transposase","A24885"
"IS5-like element ISBuph1 family transposase","A66264"
"IS5-like element ISBusp3 family transposase","A45287"
"IS5-like element ISButh4 family transposase","A50782"
"IS5-like element ISButh5 family transposase","A37589"
"IS5-like element ISButh6 family transposase","A43332"
"IS5-like element ISBvi5 family transposase","A41805"
"IS5-like element ISBvi6 family transposase","A46343"
"IS5-like element ISBxe5 family transposase","A62349"
"IS5-like element ISC1058 family transposase","A39692"
"IS5-like element ISC1234 family transposase","A39684"
"IS5-like element ISC1290 family transposase","A39704"
"IS5-like element ISCaa2 family transposase","A57598"
"IS5-like element ISCaa3 family transposase","A57597"
"IS5-like element ISCaa6 family transposase","A57590"
"IS5-like element ISCaa8 family transposase","A57588"
"IS5-like element ISCaa9 family transposase","A57587"
"IS5-like element ISCaac1 family transposase","A38331"
"IS5-like element ISCARN8 family transposase","A52421"
"IS5-like element ISCc1 family transposase","A40574"
"IS5-like element ISCgl5 family transposase","A41126"
"IS5-like element ISCgl6 family transposase","A41125"
"IS5-like element ISCph12 family transposase","A61733"
"IS5-like element ISCysp15 family transposase","A50743"
"IS5-like element ISCysp18 family transposase","A66584"
"IS5-like element ISCysp19 family transposase","A38595"
"IS5-like element ISDal2 family transposase","A59934"
"IS5-like element ISDce1 family transposase","A43152"
"IS5-like element ISDde1 family transposase","A55594"
"IS5-like element ISDds9 family transposase","A61727"
"IS5-like element ISDeth1 family transposase","A41042"
"IS5-like element ISDge16 family transposase","A61119"
"IS5-like element ISDge6 family transposase","A61116"
"IS5-like element ISDge7 family transposase","A61117"
"IS5-like element ISDha14 family transposase","A64336"
"IS5-like element ISDisp1 family transposase","A30988"
"IS5-like element ISDith1 family transposase","A45901"
"IS5-like element ISDra5 family transposase","A43656"
"IS5-like element ISDsh4 family transposase","A61380"
"IS5-like element ISEc35 family transposase","A28317"
"IS5-like element ISEc61 family transposase","A38292"
"IS5-like element ISEc68 family transposase","A26953"
"IS5-like element ISEhe2 family transposase","A57267"
"IS5-like element ISFac2 family transposase","A61233"
"IS5-like element ISFal3A family transposase","A70909"
"IS5-like element ISFal3B family transposase","A70910"
"IS5-like element ISFsp7 family transposase","A44079"
"IS5-like element ISFtu2 family transposase","A26280"
"IS5-like element ISGdi1 family transposase","A50544"
"IS5-like element ISGdi2 family transposase","A37912"
"IS5-like element ISGdi3 family transposase","A36702"
"IS5-like element ISGeob1 family transposase","A70838"
"IS5-like element ISGeob2 family transposase","A70837"
"IS5-like element ISGeob3 family transposase","A70836"
"IS5-like element ISGeob4 family transposase","A70831"
"IS5-like element ISGeob5 family transposase","A70833"
"IS5-like element ISGeob6 family transposase","A70835"
"IS5-like element ISGeob7 family transposase","A70834"
"IS5-like element ISGka1 family transposase","A26942"
"IS5-like element ISGlo4 family transposase","A63122"
"IS5-like element ISGlo5 family transposase","A63116"
"IS5-like element ISGme1 family transposase","A71432"
"IS5-like element ISGme3 family transposase","A71439"
"IS5-like element ISGsu2 family transposase","A45309"
"IS5-like element ISGsu3 family transposase","A38134"
"IS5-like element ISH11 family transposase","A35933"
"IS5-like element ISH19 family transposase","A45087"
"IS5-like element ISH1A family transposase","A37472"
"IS5-like element ISH28 family transposase","A35983"
"IS5-like element ISHch3 family transposase","A57031"
"IS5-like element ISHcl1 family transposase","A43893"
"IS5-like element ISHha2 family transposase","A62197"
"IS5-like element ISHla2 family transposase","A50304"
"IS5-like element ISHla3 family transposase","A61873"
"IS5-like element ISHla4 family transposase","A61880"
"IS5-like element ISHla6 family transposase","A50306"
"IS5-like element ISHla7 family transposase","A61878"
"IS5-like element ISHli1 family transposase","A50308"
"IS5-like element ISHli2 family transposase","A50310"
"IS5-like element ISHma10 family transposase","A45079"
"IS5-like element ISHma11 family transposase","A45080"
"IS5-like element ISHma13 family transposase","A45077"
"IS5-like element ISHma6 family transposase","A45076"
"IS5-like element ISHma8 family transposase","A45070"
"IS5-like element ISHma9 family transposase","A45071"
"IS5-like element ISHmu1 family transposase","A28864"
"IS5-like element ISHti7 family transposase","A57365"
"IS5-like element ISHti8 family transposase","A57359"
"IS5-like element ISHtu1 family transposase","A62435"
"IS5-like element ISHut1 family transposase","A52546"
"IS5-like element ISHvo1 family transposase","A45763"
"IS5-like element ISHvo2 family transposase","A45762"
"IS5-like element ISHvo3 family transposase","A45764"
"IS5-like element ISHvo4 family transposase","A45745"
"IS5-like element ISHvo7 family transposase","A45718"
"IS5-like element ISHwa1 family transposase","A66412"
"IS5-like element ISHwa14 family transposase","A71282"
"IS5-like element ISHwa20 family transposase","A71279"
"IS5-like element ISHwa3 family transposase","A71274"
"IS5-like element ISHxa2 family transposase","A50996"
"IS5-like element ISJp4 family transposase","A41879"
"IS5-like element ISKpn12 family transposase","A30911"
"IS5-like element ISKpn13 family transposase","A31386"
"IS5-like element ISKpn26 family transposase","A7456"
"IS5-like element ISL2 family transposase","A31273"
"IS5-like element ISL2A family transposase","A36349"
"IS5-like element ISLca2 family transposase","A22390"
"IS5-like element ISLca3 family transposase","A37776"
"IS5-like element ISLho2 family transposase","A61172"
"IS5-like element ISLlo3 family transposase","A52182"
"IS5-like element ISLpl3 family transposase","A20410"
"IS5-like element ISLpn10 family transposase","A46093"
"IS5-like element ISLrh2 family transposase","A34950"
"IS5-like element ISLrh3 family transposase","A34261"
"IS5-like element ISLru1 family transposase","A40820"
"IS5-like element ISLxx6 family transposase","A70810"
"IS5-like element ISMac11 family transposase","A50518"
"IS5-like element ISMac15 family transposase","A50520"
"IS5-like element ISMac22 family transposase","A50537"
"IS5-like element ISMae4 family transposase","A30488"
"IS5-like element ISMae6 family transposase","A35282"
"IS5-like element ISMaq6 family transposase","A71391"
"IS5-like element ISMasp6 family transposase","A63949"
"IS5-like element ISMau1 family transposase","A42741"
"IS5-like element ISMba15 family transposase","A60447"
"IS5-like element ISMba5 family transposase","A60467"
"IS5-like element ISMbu1 family transposase","A41837"
"IS5-like element ISMca1 family transposase","A57143"
"IS5-like element ISMca7 family transposase","A34724"
"IS5-like element ISMch2 family transposase","A43017"
"IS5-like element ISMch8 family transposase","A43022"
"IS5-like element ISMch9 family transposase","A43019"
"IS5-like element ISMdi17 family transposase","A30206"
"IS5-like element ISMdi21 family transposase","A30233"
"IS5-like element ISMdi24 family transposase","A30251"
"IS5-like element ISMdi26 family transposase","A30258"
"IS5-like element ISMebo2 family transposase","A58675"
"IS5-like element ISMeco1 family transposase","A61110"
"IS5-like element ISMem1 family transposase","A55576"
"IS5-like element ISMepa1 family transposase","A61533"
"IS5-like element ISMev1 family transposase","A46796"
"IS5-like element ISMeva1 family transposase","A59979"
"IS5-like element ISMex15 family transposase","A30204"
"IS5-like element ISMex19 family transposase","A43827"
"IS5-like element ISMex28 family transposase","A43840"
"IS5-like element ISMex32 family transposase","A43839"
"IS5-like element ISMex35 family transposase","A43834"
"IS5-like element ISMex40 family transposase","A37832"
"IS5-like element ISMex42 family transposase","A51733"
"IS5-like element ISMhu10 family transposase","A60749"
"IS5-like element ISMma12 family transposase","A37364"
"IS5-like element ISMmi1 family transposase","A61924"
"IS5-like element ISMno12 family transposase","A66505"
"IS5-like element ISMno18 family transposase","A66537"
"IS5-like element ISMpo5 family transposase","A60756"
"IS5-like element ISMpo7 family transposase","A43020"
"IS5-like element ISMra2 family transposase","A60281"
"IS5-like element ISMra5 family transposase","A60283"
"IS5-like element ISMra6 family transposase","A60285"
"IS5-like element ISMru1 family transposase","A60363"
"IS5-like element ISMt1 family transposase","A3940"
"IS5-like element ISMte1 family transposase","A64296"
"IS5-like element ISMth3 family transposase","A46804"
"IS5-like element ISMtsp14 family transposase","A50817"
"IS5-like element ISMtsp20 family transposase","A50823"
"IS5-like element ISNamo1 family transposase","A24693"
"IS5-like element ISNamo2 family transposase","A50198"
"IS5-like element ISNamo4 family transposase","A50202"
"IS5-like element ISNemu1A family transposase","A51224"
"IS5-like element ISNGR9 family transposase","A58588"
"IS5-like element ISNha6 family transposase","A61516"
"IS5-like element ISNha7 family transposase","A61510"
"IS5-like element ISNha8 family transposase","A61514"
"IS5-like element ISNma1 family transposase","A44499"
"IS5-like element ISNma2 family transposase","A44489"
"IS5-like element ISNme1 family transposase","A43684"
"IS5-like element ISNoc2 family transposase","A56329"
"IS5-like element ISNov2 family transposase","A57191"
"IS5-like element ISNpe14 family transposase","A64135"
"IS5-like element ISNpe16 family transposase","A51063"
"IS5-like element ISNph4 family transposase","A46302"
