"Product","product_map"
"IS1182-like element ISMno32 family transposase","A66522"
"IS1182-like element ISMno33 family transposase","A66523"
"IS1182-like element ISMno38 family transposase","A66506"
"IS1182-like element ISMno8 family transposase","A66499"
"IS1182-like element ISMno9 family transposase","A66508"
"IS1182-like element ISMpo6 family transposase","A60757"
"IS1182-like element ISMtsp10 family transposase","A50814"
"IS1182-like element ISNml3 family transposase","A64955"
"IS1182-like element ISNpu1 family transposase","A39486"
"IS1182-like element ISOih1 family transposase","A55670"
"IS1182-like element ISPa22 family transposase","A28351"
"IS1182-like element ISPa7 family transposase","A35353"
"IS1182-like element ISPfl3 family transposase","A51177"
"IS1182-like element ISPmo1 family transposase","A38776"
"IS1182-like element ISPpu16 family transposase","A28308"
"IS1182-like element ISPse1 family transposase","A51510"
"IS1182-like element ISPsp5 family transposase","A29106"
"IS1182-like element ISPst13 family transposase","A56954"
"IS1182-like element ISPsy27 family transposase","A43674"
"IS1182-like element ISPsy36 family transposase","A46190"
"IS1182-like element ISPsy6 family transposase","A46748"
"IS1182-like element ISRce2 family transposase","A55118"
"IS1182-like element ISRle11 family transposase","A50849"
"IS1182-like element ISRssp12 family transposase","A17183"
"IS1182-like element ISRxy1 family transposase","A70896"
"IS1182-like element ISSau3 family transposase","A22645"
"IS1182-like element ISSdi1 family transposase","A16642"
"IS1182-like element ISSep1 family transposase","A27938"
"IS1182-like element ISShsp2 family transposase","A71374"
"IS1182-like element ISSmi2 family transposase","A45525"
"IS1182-like element ISStau7 family transposase","A51984"
"IS1182-like element ISStau8 family transposase","A51989"
"IS1182-like element ISSth2 family transposase","A37016"
"IS1182-like element ISSwo3 family transposase","A50718"
"IS1182-like element ISSyth1 family transposase","A60690"
"IS1182-like element ISSyth2 family transposase","A60689"
"IS1182-like element ISThu1 family transposase","A62369"
"IS1182-like element ISTte1 family transposase","A42186"
"IS1182-like element ISUnCu17 family transposase","A45923"
"IS1182-like element ISVei6 family transposase","A61406"
"IS1182-like element ISYen4 family transposase","A43142"
"IS1182 family transposase","A2680"
"IS1202-like element ISEsa1 family transposase","A20159"
"IS1249 family transposase","A24343"
"IS1294 transposase","A63404"
"IS1380-like element IS1247 family transposase","A31582"
"IS1380-like element IS1380A family transposase","A36804"
"IS1380-like element IS1677 family transposase","A27644"
"IS1380-like element IS1678 family transposase","A17937"
"IS1380-like element IS612 family transposase","A52227"
